ShowCancelledTrip,Monitored,VejoArrivalTime,MonitoringError,ShowFlexibleTrip,CancelledCall,TimingPointCode,WheelChairAccessible,BlockCode,VejoDepartureTime,DetectedUserStopCode,ExpectedDepartureTime,UserStopOrderNumber,ExtraJourney,JourneyModificationType,ShowCancelledStop,LinePlanningNumber,VehicleJourneyType,TimingPointDataOwnerCode,ExtraCall,UserStopCode,JourneyStopType,TargetDepartureTime,ExpectedArrivalTime,VejoJourneyNumber,IsTimingStop,DataOwnerCode,FortifyOrderNumber,JourneyNumber,JourneyPatternCode,LocalServiceLevelCode,LineDirection,DistanceSinceDetectedUserStop,LineVeTagNumber,LastUpdateTimeStamp,DestinationCode,OperationDate,SideCode,NumberOfCoaches,VehicleNumber,CancelledJourney,TripStopStatus,TargetArrivalTime
TRUE,1,06:39:00,0,FALSE,0,60001240,UNKNOWN,1800110,05:59:00,60001240,2021-06-22T06:09:04,12,0,NONE,1,X008,PUJO,ALGEMEEN,0,60001240,INTERMEDIATE,06:10:00,2021-06-22T06:09:04,2,False,CXX,0,2,168311,6830963,2,468,8,2021-06-22T06:07:58+02:00,X00817887,2021-06-22,-,1,5315,0,DRIVING,06:10:00
TRUE,1,06:39:00,0,FALSE,0,60000660,UNKNOWN,1800110,05:59:00,60000660,2021-06-22T06:16:46,17,0,NONE,1,X008,PUJO,ALGEMEEN,0,60000660,INTERMEDIATE,06:17:00,2021-06-22T06:16:46,2,False,CXX,0,2,168311,6830963,2,893,8,2021-06-22T06:07:58+02:00,X00817887,2021-06-22,-,1,5315,0,DRIVING,06:17:00
TRUE,1,06:30:00,0,FALSE,0,60390090,UNKNOWN,1800112,05:46:00,60390090,2021-06-22T06:19:46,29,0,NONE,1,X080,PUJO,ALGEMEEN,0,60390090,INTERMEDIATE,06:21:00,2021-06-22T06:19:46,2,False,CXX,0,2,296252,6830987,2,1459,80,2021-06-22T06:07:58+02:00,X08016101,2021-06-22,-,1,5319,0,DRIVING,06:21:00
TRUE,1,06:30:00,0,FALSE,0,60390210,UNKNOWN,1800112,05:46:00,60390210,2021-06-22T00:00:00,34,0,NONE,1,X080,PUJO,ALGEMEEN,0,60390210,LAST,00:00:00,2021-06-22T06:29:40,2,True,CXX,0,2,296252,6830987,2,287,80,2021-06-22T06:07:58+02:00,X08016101,2021-06-22,-,1,5319,0,DRIVING,06:30:00
TRUE,1,06:35:00,0,FALSE,0,25780010,UNKNOWN,380605,06:03:00,25780010,2021-06-22T06:17:00,10,0,NONE,1,Y070,PUJO,ALGEMEEN,0,25780010,INTERMEDIATE,06:17:00,2021-06-22T06:17:00,1201,False,CXX,0,1201,107918,6831008,1,699,70,2021-06-22T06:07:58+02:00,Y07008973,2021-06-22,-,1,5747,0,DRIVING,06:17:00
TRUE,1,07:35:00,0,FALSE,0,10000102,UNKNOWN,280156,06:04:00,78300050,2021-06-22T06:16:16,8,0,NONE,1,Z020,PUJO,ALGEMEEN,0,78300050,INTERMEDIATE,06:16:00,2021-06-22T06:16:16,5,False,CXX,0,5,212929,6831069,1,1907,20,2021-06-22T06:07:58+02:00,Z02002588,2021-06-22,-,1,5575,0,DRIVING,06:16:00
TRUE,23470,1,06:14:00,0,FALSE,0,76810130,UNKNOWN,300102,05:23:00,76810130,2021-06-22T06:07:41,25,0,NONE,1,Z053,06:07:43,ALGEMEEN,0,76810130,INTERMEDIATE,06:06:00,2021-06-22T06:07:41,501,PUJO,False,CXX,0,501,193359,6831105,1,2588,53,2021-06-22T06:07:58+02:00,Z05302568,2021-06-22,-,1,2959,0,PASSED,06:06:00,396129
TRUE,1,06:56:00,0,FALSE,0,74000022,UNKNOWN,820164,06:06:00,74000022,2021-06-22T06:15:00,2,0,NONE,1,Z436,PUJO,ALGEMEEN,0,74000022,INTERMEDIATE,06:15:00,2021-06-22T06:12:59,4,True,CXX,0,4,209387,6831194,2,6123,136,2021-06-22T06:07:58+02:00,Z43602458,2021-06-22,D,1,5914,0,DRIVING,06:13:00
TRUE,1,06:55:00,0,FALSE,0,74000010,UNKNOWN,820154,05:45:00,74000010,2021-06-22T06:15:00,8,0,NONE,1,Z436,PUJO,ALGEMEEN,0,74000010,INTERMEDIATE,06:15:00,2021-06-22T06:11:57,5,True,CXX,0,5,217035,6831194,1,4073,136,2021-06-22T06:07:58+02:00,Z43602414,2021-06-22,B,1,5900,0,DRIVING,06:13:00
TRUE,1,06:36:00,0,FALSE,0,40300090,UNKNOWN,10456,06:01:00,40300090,2021-06-22T06:08:19,7,0,NONE,1,A051,PUJO,ALGEMEEN,0,40300090,INTERMEDIATE,06:08:00,2021-06-22T06:08:19,1,False,CXX,0,1,229505,6830279,1,547,51,2021-06-22T06:07:58+02:00,A05101013,2021-06-22,-,1,5370,0,DRIVING,06:08:00
TRUE,1,06:36:00,0,FALSE,0,40300190,UNKNOWN,10456,06:01:00,40300190,2021-06-22T06:11:01,10,0,NONE,1,A051,PUJO,ALGEMEEN,0,40300190,INTERMEDIATE,06:11:00,2021-06-22T06:11:01,1,False,CXX,0,1,229505,6830279,1,334,51,2021-06-22T06:07:58+02:00,A05101013,2021-06-22,-,1,5370,0,DRIVING,06:11:00
TRUE,141177,1,06:14:00,0,FALSE,0,58500360,UNKNOWN,170301,05:39:00,58500360,2021-06-22T06:07:07,25,0,NONE,1,F100,06:06:57,ALGEMEEN,0,58500360,INTERMEDIATE,06:07:00,2021-06-22T06:07:07,2,PUJO,False,CXX,0,2,156599,6830334,2,396,100,2021-06-22T06:07:58+02:00,F10001274,2021-06-22,-,1,5837,0,PASSED,06:07:00,477385
