TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Buiten, Seizoenenbuurt Zuid",Almere Buiten,58750380,ALGEMEEN
"Almere Buiten, Oostvaardersbuurt",Almere Buiten,58750460,ALGEMEEN
"Almere Buiten, Sieradenbuurt",Almere Buiten,58750580,ALGEMEEN
"Almere Buiten, Stripheldenbuurt-Nrd",Almere Buiten,58750600,ALGEMEEN
"Almere Buiten, Molenbuurt Noord",Almere Buiten,58750700,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650400,ALGEMEEN
"Almere Stad, Markerkant",Almere Stad,58650420,ALGEMEEN
"Almere Stad, Waterwijk Oost",Almere Stad,58650490,ALGEMEEN
"Almere Stad, Waterwijk West",Almere Stad,58651100,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655100,ALGEMEEN
"Almere Buiten, FBK Sportpark",Almere Buiten,58750230,ALGEMEEN
"Almere Buiten, Bouwmeesterbuurt-W.",Almere Buiten,58750290,ALGEMEEN
"Almere Buiten, Bouwmeesterbuurt-O.",Almere Buiten,58750310,ALGEMEEN
TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Stad, Wim Kanplein",Almere Stad,58650070,ALGEMEEN
"Almere Stad, Count Basiestraat",Almere Stad,58650090,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650110,ALGEMEEN
"Almere Stad, Kruidenwijk West",Almere Stad,58650270,ALGEMEEN
"Almere Stad, Fugaplantsoen",Almere Stad,58650290,ALGEMEEN
"Almere Stad, Kruidenwijk Oost",Almere Stad,58650310,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650390,ALGEMEEN
"Almere Stad, Beatrixpark",Almere Stad,58650850,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651070,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655120,ALGEMEEN
"Almere Stad, Fugaplantsoen",Almere Stad,58650040,ALGEMEEN
"Almere Stad, Wim Kanplein",Almere Stad,58650060,ALGEMEEN
"Almere Stad, Count Basiestraat",Almere Stad,58650080,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650120,ALGEMEEN
"Almere Stad, Kruidenwijk West",Almere Stad,58650280,ALGEMEEN
"Almere Stad, Kruidenwijk Oost",Almere Stad,58650320,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650400,ALGEMEEN
"Almere Stad, Beatrixpark",Almere Stad,58650840,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651080,ALGEMEEN
TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Stad, Wim Kanplein",Almere Stad,58650070,ALGEMEEN
"Almere Stad, Count Basiestraat",Almere Stad,58650090,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650110,ALGEMEEN
"Almere Stad, Kruidenwijk West",Almere Stad,58650270,ALGEMEEN
"Almere Stad, Fugaplantsoen",Almere Stad,58650290,ALGEMEEN
"Almere Stad, Kruidenwijk Oost",Almere Stad,58650310,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650390,ALGEMEEN
"Almere Stad, Beatrixpark",Almere Stad,58650850,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651070,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655120,ALGEMEEN
"Almere Stad, Fugaplantsoen",Almere Stad,58650040,ALGEMEEN
"Almere Stad, Wim Kanplein",Almere Stad,58650060,ALGEMEEN
"Almere Stad, Count Basiestraat",Almere Stad,58650080,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650120,ALGEMEEN
"Almere Stad, Kruidenwijk West",Almere Stad,58650280,ALGEMEEN
"Almere Stad, Kruidenwijk Oost",Almere Stad,58650320,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650400,ALGEMEEN
"Almere Stad, Beatrixpark",Almere Stad,58650840,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651080,ALGEMEEN
TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Stad, Wim Kanplein",Almere Stad,58650070,ALGEMEEN
"Almere Stad, Count Basiestraat",Almere Stad,58650090,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650110,ALGEMEEN
"Almere Stad, Kruidenwijk West",Almere Stad,58650270,ALGEMEEN
"Almere Stad, Fugaplantsoen",Almere Stad,58650290,ALGEMEEN
"Almere Stad, Kruidenwijk Oost",Almere Stad,58650310,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650390,ALGEMEEN
"Almere Stad, Beatrixpark",Almere Stad,58650850,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651070,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655120,ALGEMEEN
"Almere Stad, Fugaplantsoen",Almere Stad,58650040,ALGEMEEN
"Almere Stad, Wim Kanplein",Almere Stad,58650060,ALGEMEEN
"Almere Stad, Count Basiestraat",Almere Stad,58650080,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650120,ALGEMEEN
