Version;Implicit;DataOwnerCode;DestCode;DestNameFull;DestNameMain;DestNameDetail;RelevantDestNameDetail;DestNameMain21;DestNameDetail21;DestNameMain19;DestNameDetail19;DestNameMain16;DestNameDetail16;DestIcon;DestColor
1;true;CXX;L00315959;Eindhoven Boschdijk/Steenoven;Eindhoven;Boschdijk/Steeno;false;Eindhoven;Boschdijk/Steeno;Eindhoven;Boschdijk/Steeno;Eindhoven;Boschdijk/Steeno;;
1;true;CXX;L00315962;Koenraadlaan ;Koenraadlaan;;false;Koenraadlaan;;Koenraadlaan;;Koenraadlaan;;;
1;true;CXX;L00315967;Lievendaal ;Lievendaal;;false;Lievendaal;;Lievendaal;;Lievendaal;;;
1;true;CXX;L00315974;Eindhoven Noordzeelaan;Eindhoven;Noordzeelaan;false;Eindhoven;Noordzeelaan;Eindhoven;Noordzeelaan;Eindhoven;Noordzeelaan;;
1;true;CXX;L00415928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L00415961;Heesterakker ;Heesterakker;;false;Heesterakker;;Heesterakker;;Heesterakker;;;
1;true;CXX;L00415971;MMC Diaconessenhuis;MMC;Diaconessenhuis;false;MMC;Diaconessenhuis;MMC;Diaconessenhuis;MMC;Diaconessenhuis;;
1;true;CXX;L00415991;Sterrenlaan ;Sterrenlaan;;false;Sterrenlaan;;Sterrenlaan;;Sterrenlaan;;;
1;true;CXX;L00415994;Tarwelaan ;Tarwelaan;;false;Tarwelaan;;Tarwelaan;;Tarwelaan;;;
1;true;CXX;L00415997;Wkc Vaartbroek ;Wkc Vaartbroek;;false;Wkc Vaartbroek;;Wkc Vaartbroek;;Wkc Vaartbroek;;;
1;true;CXX;L00416608;Heesterakker ;Heesterakker;;false;Heesterakker;;Heesterakker;;Heesterakker;;;
1;true;CXX;L00438204;Eindhoven Braambesweg;Eindhoven;Braambesweg;false;Eindhoven;Braambesweg;Eindhoven;Braambesweg;Eindhoven;Braambesweg;;
1;true;CXX;L00440624;Eindhoven Wijnpeerstraat;Eindhoven;Wijnpeerstraat;false;Eindhoven;Wijnpeerstraat;Eindhoven;Wijnpeerstraat;Eindhoven;Wijnpeerstraat;;
